business_name,address,zip_code
CHIPOTLE MEXICAN GRILL OF COLORADO,"4800 BAUM BLVD, Pittsburgh, PA 15213",15213
BURGER KING,"1820 E CARSON ST, Pittsburgh, PA 15203",15203
BURGER KING 4192,"1820 E CARSON ST, Pittsburgh, PA 15203",15203
MINEO'S PIZZA,"2350 NOBLESTOWN RD, Pittsburgh, PA 15205",15205
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
Pitaland Express,"620 BROOKLINE BLVD, Pittsburgh, PA 15226",15226
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
DARNETIA BARNETT,"2245 WILSON AVE, Pittsburgh, PA 15214",15214
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
COEN MARKETS LLC,"2800 BROWNSVILLE RD, Pittsburgh, PA 15227",15227
Blinky’s Bar and Grill,"2350 NOBLESTOWN RD, Pittsburgh, PA 15205",15205
APPLE NINE HOSPITALITY MANAGEMENT INC,"3315 HAMLET ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
BUSINESS LICENSES - TRADER JOE'S #638,"6343 PENN AVE, Pittsburgh, PA 15206",15206
MUYA INTERNATIONAL MARKET INC,"1300 FEDERAL ST, Pittsburgh, PA 15212",15212
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
SPECTACOR MANAGEMENT GROUP,"3719 TERRACE ST, Pittsburgh, PA 15213",15213
Korean Garden Restaurant,"414 SEMPLE ST, Pittsburgh, PA 15213",15213
Coen Markets LLC # 1236,"925 E CARSON ST, Pittsburgh, PA 15203",15203
Salems Market & Grill LLC,"2923 PENN AVE, Pittsburgh, PA 15201",15201
Charmaine B Dunbar Family Childcare,"6826 UPLAND ST, Pittsburgh, PA 15208",15208
UPMC Magee Womens Hospital,"327 CRAFT AVE, Pittsburgh, PA 15213",15213
Coen Markets # 1231,"1709 SAW MILL RUN BLVD, Pittsburgh, PA 15210",15210
Bakery Square Holdings LP,"6425 PENN AVE, Pittsburgh, PA 15206",15206
Barry Rudski,"369 COLTART AVE, Pittsburgh, PA 15213",15213
Allegheny General Hospital,"621 E NORTH AVE, Pittsburgh, PA 15212",15212
111 Juice Bar LLC,"4901 2ND AVE, Pittsburgh, PA 15207",15207
Smokeland BBQ Truck,"3959 5TH AVE, Pittsburgh, PA 15213",15213
Salem's Market Centre Ave LLC,"1850 CENTRE AVE, Pittsburgh, PA 15219",15219
The Shark's grill,"6326 PHILLIPS AVE, Pittsburgh, PA 15217",15217
Erica R Winstead's Family Childcare,"7116 MOUNT VERNON ST, Pittsburgh, PA 15208",15208
UPMC Children's Hospital,"3414 5TH AVE, Pittsburgh, PA 15213",15213
Bakery Square Holdings LP,"6425 PENN AVE, Pittsburgh, PA 15206",15206
Rosewater Middle Eastern Grill LLC,"808 LIBERTY AVE #1, Pittsburgh, PA 15222",15222
"Hospital Parking, LLC","39 MARION ST, Pittsburgh, PA 15219",15219
"Hospital Parking, LLC","39 MARION ST, Pittsburgh, PA 15219",15219
